id,full_name,gender,part_time_job,weekly_self_study_hours,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score,average_score
276,Benjamin Davis,male,False,30.0,85.0,94.0,83.0,76.0,77.0,81.0,92.0,86.67
277,Nancy Pierce,female,True,4.0,82.0,85.0,75.0,92.0,76.0,95.0,85.0,87.33
278,Catherine Weiss,female,False,28.0,98.0,77.0,94.0,63.0,69.0,88.0,100.0,87.67
279,Jacob Perez,male,False,29.0,93.0,96.0,94.0,84.0,91.0,67.0,68.0,85.33
280,Penny Zuniga,female,False,30.0,84.0,97.0,60.0,100.0,83.0,88.0,94.0,89.67
281,Anthony Cox,male,False,31.0,81.0,95.0,76.0,60.0,61.0,98.0,77.0,91.33
282,Angela Nelson,female,False,1.0,62.0,64.0,84.0,67.0,78.0,51.0,62.0,59.0
283,Lisa White,female,False,16.0,92.0,70.0,60.0,94.0,87.0,90.0,86.0,84.0
284,Robin Parker,female,False,18.0,64.0,93.0,61.0,61.0,74.0,94.0,64.0,83.67
285,Cynthia Shields,female,True,4.0,89.0,67.0,97.0,67.0,75.0,94.0,93.0,83.33
286,Pamela Wilkinson,female,False,32.0,99.0,88.0,84.0,87.0,36.0,96.0,86.0,94.33
287,Brenda Nichols,female,False,12.0,95.0,82.0,93.0,99.0,66.0,93.0,86.0,90.0
288,Laura Rodriguez,female,True,5.0,72.0,92.0,67.0,100.0,70.0,94.0,81.0,86.0
289,Julie Carey,female,False,15.0,68.0,89.0,68.0,90.0,68.0,99.0,74.0,85.33
290,Barbara Andrews,female,False,31.0,92.0,69.0,78.0,68.0,70.0,80.0,73.0,80.33
291,Tracy Johnson,male,False,2.0,97.0,74.0,97.0,60.0,65.0,90.0,97.0,87.0
292,Sarah Oconnor,female,False,2.0,81.0,92.0,94.0,77.0,84.0,63.0,64.0,78.67
293,Joseph Landry,male,False,20.0,88.0,60.0,81.0,85.0,87.0,90.0,76.0,79.33
294,Terry Chen,male,False,11.0,76.0,82.0,70.0,72.0,78.0,60.0,81.0,72.67
295,Heather Faulkner,female,False,26.0,77.0,62.0,97.0,82.0,74.0,98.0,95.0,79.0
296,Wanda Baxter,female,False,22.0,89.0,81.0,99.0,71.0,67.0,74.0,89.0,81.33
297,Amanda Davis,female,False,12.0,65.0,69.0,66.0,65.0,90.0,76.0,60.0,70.0
298,Gina Powell,female,True,4.0,82.0,55.0,76.0,63.0,70.0,61.0,60.0,66.0
299,Sabrina Hall,female,False,34.0,77.0,60.0,61.0,91.0,62.0,78.0,91.0,71.67
300,Lauren Miller,female,False,9.0,66.0,70.0,88.0,70.0,62.0,70.0,75.0,68.67
301,Jessica Diaz,female,False,43.0,90.0,96.0,100.0,87.0,100.0,90.0,89.0,92.0
302,Ashley Garcia,female,False,1.0,73.0,87.0,90.0,96.0,61.0,61.0,76.0,73.67
303,Miranda Johnson,female,False,19.0,89.0,64.0,74.0,97.0,95.0,77.0,88.0,76.67
304,Tracy Johnston,female,True,2.0,72.0,55.0,54.0,62.0,75.0,79.0,96.0,68.67
305,Erik Butler,male,False,34.0,87.0,90.0,89.0,88.0,93.0,87.0,70.0,88.0
306,Tiffany Jones,female,False,31.0,75.0,98.0,96.0,85.0,81.0,69.0,90.0,80.67
307,Brandy Campbell,female,False,11.0,80.0,85.0,98.0,99.0,92.0,70.0,96.0,78.33
308,Joel Hicks,male,False,35.0,85.0,87.0,87.0,90.0,91.0,91.0,99.0,87.67
309,John Miller,male,False,20.0,92.0,93.0,74.0,76.0,79.0,65.0,74.0,83.33
310,Nancy Jones,female,True,22.0,63.0,60.0,92.0,88.0,90.0,68.0,100.0,63.67
311,Jody Mueller,female,False,2.0,99.0,99.0,87.0,80.0,89.0,78.0,87.0,92.0
312,Steven Fox,male,False,1.0,87.0,88.0,51.0,96.0,77.0,71.0,61.0,82.0
313,Taylor Klein,female,False,34.0,87.0,84.0,62.0,76.0,89.0,83.0,93.0,84.67
314,David Barron,male,True,17.0,90.0,75.0,71.0,64.0,97.0,89.0,88.0,84.67
315,Kevin Thompson,male,False,34.0,94.0,83.0,99.0,100.0,94.0,91.0,69.0,89.33
316,Andrea Walters,female,True,25.0,86.0,76.0,81.0,83.0,81.0,70.0,65.0,77.33
317,David Wright,male,False,8.0,96.0,81.0,95.0,78.0,79.0,65.0,86.0,80.67
318,Anthony Oconnor,male,False,4.0,75.0,69.0,85.0,73.0,79.0,93.0,74.0,79.0
319,Laura Miller,female,False,26.0,74.0,92.0,81.0,79.0,74.0,85.0,86.0,83.67
320,Steven Barrett,male,False,13.0,96.0,91.0,96.0,69.0,70.0,99.0,70.0,95.33
321,Miranda Ruiz,female,False,4.0,79.0,77.0,62.0,98.0,76.0,99.0,82.0,85.0
322,Matthew Anderson,male,False,27.0,70.0,88.0,60.0,68.0,66.0,82.0,60.0,80.0
323,Kenneth Flores,male,False,32.0,79.0,91.0,62.0,87.0,80.0,65.0,94.0,78.33
324,Sydney Johnson,female,False,25.0,91.0,65.0,86.0,66.0,88.0,85.0,60.0,80.33
325,Carla Lewis,female,False,13.0,90.0,72.0,78.0,61.0,78.0,88.0,74.0,83.33
326,Jeffrey Shannon,male,False,31.0,87.0,100.0,86.0,60.0,80.0,78.0,96.0,88.33
327,Angela Park,female,False,8.0,69.0,99.0,78.0,85.0,98.0,86.0,73.0,84.67
328,Brandon Smith,male,True,0.0,66.0,99.0,50.0,62.0,97.0,60.0,84.0,75.0
329,Kenneth Moody,male,False,6.0,65.0,95.0,78.0,65.0,74.0,69.0,63.0,76.33
330,Scott Hughes,male,False,7.0,83.0,81.0,88.0,82.0,97.0,83.0,74.0,82.33
331,Cody Jimenez,male,False,32.0,100.0,89.0,95.0,63.0,67.0,92.0,75.0,93.67
332,Allen Farmer,male,False,30.0,85.0,70.0,78.0,66.0,69.0,62.0,100.0,72.33
333,James Young,male,False,4.0,45.0,98.0,95.0,66.0,84.0,83.0,100.0,75.33
334,Laura Dawson,female,False,15.0,73.0,75.0,94.0,82.0,71.0,90.0,75.0,79.33
335,Donald Carson,male,False,2.0,95.0,83.0,96.0,97.0,72.0,77.0,61.0,85.0
336,Wayne Lane,male,False,32.0,96.0,95.0,61.0,72.0,71.0,83.0,96.0,91.33
337,Robert Johnson,male,False,24.0,94.0,72.0,96.0,93.0,93.0,79.0,64.0,81.67
338,Melissa Le,female,False,18.0,92.0,69.0,69.0,60.0,90.0,88.0,95.0,83.0
339,David Rice,male,True,5.0,56.0,52.0,76.0,95.0,54.0,59.0,85.0,55.67
340,Dawn Gomez,female,True,24.0,85.0,74.0,65.0,76.0,100.0,95.0,68.0,84.67
341,Ricky Nichols,male,False,16.0,65.0,90.0,68.0,99.0,74.0,82.0,86.0,79.0
342,Henry Pitts,male,False,15.0,64.0,81.0,95.0,87.0,86.0,91.0,80.0,78.67
343,Christopher Price,male,False,26.0,100.0,88.0,94.0,67.0,62.0,66.0,96.0,84.67
344,Aimee Adams,female,False,15.0,76.0,64.0,64.0,60.0,75.0,92.0,61.0,77.33
345,Tammy Barry,female,False,5.0,97.0,76.0,91.0,76.0,89.0,60.0,85.0,77.67
346,Ryan Hull,male,False,14.0,95.0,98.0,98.0,83.0,77.0,93.0,83.0,95.33
347,Samuel Jackson,male,False,1.0,85.0,64.0,90.0,94.0,68.0,97.0,61.0,82.0
348,Joshua Smith,male,False,10.0,86.0,91.0,96.0,60.0,91.0,73.0,88.0,83.33
349,Sydney Stevenson,female,False,5.0,100.0,58.0,58.0,100.0,60.0,52.0,82.0,70.0
350,Christopher Rios,male,False,26.0,65.0,77.0,66.0,100.0,88.0,77.0,62.0,73.0
351,Brenda Collins,female,False,26.0,71.0,81.0,99.0,74.0,74.0,82.0,67.0,78.0
352,Diana Griffin,female,False,14.0,80.0,94.0,97.0,83.0,84.0,77.0,79.0,83.67
353,Gary Gray,male,False,21.0,91.0,76.0,96.0,77.0,99.0,64.0,83.0,77.0
354,Kimberly Torres,female,False,32.0,91.0,87.0,88.0,82.0,95.0,70.0,87.0,82.67
355,Jeffrey Booker,male,False,30.0,100.0,86.0,81.0,100.0,66.0,98.0,97.0,94.67
356,Nicole Buchanan,female,False,13.0,92.0,79.0,71.0,65.0,99.0,91.0,98.0,87.33
357,Kristin Johnson,female,False,33.0,89.0,76.0,95.0,83.0,84.0,96.0,61.0,87.0
358,Emily Bell,female,False,15.0,93.0,92.0,92.0,76.0,49.0,93.0,75.0,92.67
359,Francis Nelson,male,False,33.0,81.0,64.0,67.0,74.0,65.0,94.0,96.0,79.67
360,Tracy Harris,male,False,11.0,70.0,73.0,70.0,67.0,96.0,86.0,89.0,76.33
361,Sheila Sosa,female,False,30.0,61.0,70.0,89.0,97.0,60.0,79.0,79.0,70.0
362,Ashley Mendez,female,False,2.0,62.0,53.0,78.0,77.0,59.0,95.0,80.0,70.0
363,Matthew Griffin,male,False,4.0,83.0,61.0,79.0,99.0,66.0,60.0,76.0,68.0
364,Timothy Mann,male,False,32.0,85.0,96.0,87.0,63.0,69.0,69.0,81.0,83.33
365,Christine Foster,female,True,0.0,83.0,55.0,87.0,74.0,73.0,77.0,61.0,71.67
366,Julie Yates,female,False,4.0,73.0,95.0,54.0,94.0,99.0,58.0,94.0,75.33
367,William Ballard,male,True,0.0,61.0,65.0,73.0,78.0,77.0,97.0,96.0,74.33
368,Kristen Adams,female,False,21.0,77.0,72.0,81.0,63.0,69.0,73.0,80.0,74.0
369,Chelsea Mitchell,female,False,29.0,77.0,87.0,65.0,91.0,71.0,90.0,90.0,84.67
370,Patrick Everett,male,False,32.0,99.0,94.0,94.0,62.0,68.0,79.0,68.0,90.67
371,Carla Parker,female,False,14.0,73.0,69.0,94.0,78.0,76.0,63.0,71.0,68.33
372,Casey Galvan,male,False,25.0,95.0,89.0,96.0,89.0,60.0,99.0,93.0,94.33
373,Eric Moran,male,False,4.0,94.0,79.0,92.0,100.0,93.0,63.0,98.0,78.67
374,Tabitha Hudson,female,False,32.0,75.0,83.0,85.0,65.0,76.0,94.0,60.0,84.0
375,Lance Salazar,male,False,7.0,66.0,83.0,77.0,91.0,84.0,74.0,62.0,74.33
376,Melissa Williamson,female,True,22.0,91.0,79.0,89.0,74.0,79.0,74.0,61.0,81.33
377,James Castro,male,False,3.0,81.0,61.0,75.0,65.0,90.0,92.0,80.0,78.0
378,Joseph Johnson,male,True,1.0,71.0,69.0,69.0,67.0,70.0,78.0,66.0,72.67
379,Gene Woodward,male,False,23.0,77.0,94.0,97.0,77.0,63.0,98.0,98.0,89.67
380,Patricia Watson,female,False,42.0,91.0,87.0,93.0,85.0,98.0,85.0,95.0,87.67
381,John Carey,male,False,30.0,83.0,98.0,100.0,93.0,100.0,77.0,76.0,86.0
382,Sara Cochran,female,False,1.0,75.0,51.0,70.0,84.0,66.0,64.0,88.0,63.33
383,Jamie Suarez,female,True,17.0,86.0,96.0,68.0,71.0,86.0,94.0,89.0,92.0
384,Steven Frazier,male,False,48.0,86.0,88.0,89.0,89.0,98.0,89.0,96.0,87.67
385,Nicholas Hart,male,False,24.0,85.0,67.0,60.0,82.0,77.0,72.0,72.0,74.67
386,Cheryl Arias,female,False,31.0,62.0,81.0,80.0,88.0,78.0,94.0,85.0,79.0
387,Marc Brock,male,True,0.0,100.0,65.0,67.0,61.0,76.0,58.0,84.0,74.33
388,Timothy Perez,male,False,2.0,79.0,86.0,97.0,60.0,66.0,74.0,96.0,79.67
389,Courtney Rodriguez,female,False,24.0,99.0,97.0,68.0,85.0,86.0,85.0,73.0,93.67
390,Samantha Clark,female,False,2.0,46.0,65.0,97.0,100.0,56.0,73.0,95.0,61.33
391,Francisco Reilly,male,False,32.0,85.0,97.0,88.0,61.0,80.0,80.0,84.0,87.33
392,Denise Young,female,False,4.0,85.0,68.0,89.0,64.0,79.0,66.0,66.0,73.0
393,Darrell Williams,male,False,32.0,85.0,87.0,91.0,63.0,95.0,88.0,62.0,86.67
394,Andrew Smith,male,False,16.0,99.0,86.0,90.0,100.0,96.0,77.0,60.0,87.33
395,Teresa Stafford,female,False,20.0,84.0,92.0,63.0,91.0,89.0,92.0,76.0,89.33
396,Cory Harris,male,False,28.0,85.0,72.0,87.0,72.0,68.0,85.0,78.0,80.67
397,Douglas Irwin,male,False,30.0,100.0,79.0,92.0,92.0,67.0,68.0,72.0,82.33
398,Deborah Miller,female,False,17.0,86.0,61.0,68.0,91.0,60.0,86.0,62.0,77.67
399,Autumn Hernandez,female,False,25.0,79.0,70.0,71.0,95.0,79.0,77.0,68.0,75.33
400,Paul Serrano,male,False,18.0,76.0,82.0,76.0,71.0,70.0,89.0,76.0,82.33
401,Matthew Griffin,male,True,23.0,96.0,63.0,69.0,67.0,69.0,92.0,77.0,83.67
402,Evan Holmes,male,False,23.0,100.0,77.0,75.0,74.0,80.0,94.0,74.0,90.33
403,Cynthia Baker,female,False,21.0,88.0,84.0,87.0,97.0,94.0,87.0,85.0,86.33
404,Sandra Melendez,female,False,27.0,96.0,76.0,98.0,89.0,93.0,85.0,75.0,85.67
405,Claudia Munoz,female,False,14.0,92.0,66.0,96.0,71.0,87.0,89.0,61.0,82.33
406,Christopher Nguyen,male,False,37.0,87.0,93.0,99.0,100.0,97.0,92.0,90.0,90.67
407,David Jennings,male,False,29.0,95.0,82.0,74.0,87.0,36.0,61.0,88.0,79.33
408,Joel Morris,male,True,4.0,44.0,76.0,56.0,71.0,66.0,54.0,91.0,58.0
409,Rhonda Bradley,female,False,16.0,78.0,89.0,68.0,63.0,81.0,92.0,97.0,86.33
410,Melissa Brown,female,False,30.0,95.0,78.0,93.0,85.0,48.0,68.0,75.0,80.33
411,Matthew Kramer,male,True,1.0,57.0,56.0,53.0,75.0,98.0,92.0,73.0,68.33
412,Austin Bass,male,False,24.0,86.0,99.0,95.0,94.0,92.0,90.0,77.0,91.67
413,Jennifer West,female,False,35.0,92.0,97.0,100.0,91.0,95.0,90.0,95.0,93.0
414,Patricia Mccormick,female,False,14.0,69.0,69.0,84.0,100.0,69.0,77.0,87.0,71.67
415,Sandra Jacobs,female,False,3.0,91.0,62.0,75.0,60.0,82.0,91.0,96.0,81.33
416,Jasmine Clark,female,False,15.0,79.0,79.0,97.0,78.0,31.0,99.0,84.0,85.67
417,Jeffrey Young,male,False,23.0,93.0,96.0,80.0,64.0,91.0,68.0,71.0,85.67
418,Jason Hernandez,male,False,19.0,90.0,79.0,90.0,73.0,76.0,68.0,95.0,79.0
419,Christopher Hamilton,male,False,33.0,99.0,68.0,100.0,95.0,95.0,88.0,83.0,85.0
420,Monique Peterson,female,False,14.0,90.0,69.0,81.0,92.0,65.0,89.0,69.0,82.67
421,Jill Sexton,female,False,0.0,71.0,84.0,66.0,75.0,93.0,84.0,69.0,79.67
422,Jennifer Kemp,female,False,34.0,98.0,93.0,67.0,74.0,81.0,87.0,76.0,92.67
423,David Harris,male,False,33.0,94.0,99.0,83.0,94.0,93.0,95.0,93.0,96.0
424,Cheryl Snyder,female,False,7.0,92.0,89.0,79.0,76.0,86.0,61.0,81.0,80.67
425,Nathan Armstrong,male,False,18.0,100.0,96.0,74.0,61.0,87.0,94.0,60.0,96.67
426,Patrick Ryan,male,False,4.0,48.0,55.0,86.0,51.0,54.0,94.0,61.0,65.67
427,Christian Wilkins,male,False,10.0,63.0,87.0,71.0,68.0,66.0,67.0,99.0,72.33
428,Clinton Martin,male,True,22.0,89.0,83.0,89.0,91.0,94.0,93.0,69.0,88.33
429,Adriana Sandoval,female,False,28.0,88.0,90.0,93.0,81.0,88.0,90.0,74.0,89.33
430,Jeremy Harvey,male,False,2.0,98.0,87.0,67.0,97.0,62.0,60.0,79.0,81.67
431,Caitlin Murillo,female,False,0.0,92.0,86.0,88.0,75.0,60.0,50.0,79.0,76.0
432,Andrew Green,male,False,24.0,80.0,60.0,100.0,99.0,98.0,75.0,94.0,71.67
433,Rodney Bennett,male,False,15.0,92.0,63.0,91.0,65.0,69.0,94.0,98.0,83.0
434,Megan Moyer,female,True,1.0,82.0,95.0,68.0,64.0,97.0,99.0,60.0,92.0
435,Mathew Burns,male,False,8.0,84.0,74.0,74.0,75.0,99.0,99.0,85.0,85.67
436,Tammie Stanley,female,False,9.0,61.0,70.0,65.0,67.0,93.0,81.0,63.0,70.67
437,James Glover,male,False,33.0,99.0,87.0,98.0,76.0,65.0,94.0,67.0,93.33
438,Michelle Reeves,female,False,32.0,83.0,69.0,90.0,78.0,39.0,95.0,82.0,82.33
439,Rhonda Hall,female,True,4.0,56.0,90.0,95.0,59.0,91.0,77.0,99.0,74.33
440,Matthew Kidd,male,False,2.0,65.0,64.0,52.0,56.0,63.0,82.0,83.0,70.33
441,Joseph Stone,male,False,20.0,94.0,61.0,77.0,73.0,79.0,65.0,89.0,73.33
442,Jessica Mendoza,female,False,21.0,90.0,96.0,73.0,89.0,93.0,87.0,96.0,91.0
443,Susan Brown,female,False,29.0,94.0,82.0,81.0,90.0,76.0,97.0,86.0,91.0
444,Lori Ryan,female,False,13.0,89.0,87.0,63.0,83.0,64.0,85.0,72.0,87.0
445,Ryan Cruz,male,False,24.0,89.0,67.0,68.0,93.0,98.0,75.0,88.0,77.0
446,Nicholas Johnson,male,False,30.0,88.0,98.0,87.0,85.0,96.0,77.0,96.0,87.67
447,Joseph Schmidt,male,False,25.0,76.0,94.0,90.0,75.0,92.0,86.0,87.0,85.33
448,Daniel Brown,male,False,1.0,88.0,78.0,84.0,96.0,92.0,99.0,97.0,88.33
449,Harold Vazquez,male,False,27.0,88.0,76.0,80.0,72.0,100.0,69.0,71.0,77.67
450,Lance Parsons,male,False,4.0,54.0,88.0,82.0,89.0,72.0,60.0,69.0,67.33
451,Jill Mathews,female,False,32.0,87.0,87.0,76.0,67.0,68.0,89.0,77.0,87.67
452,Crystal Nguyen,female,False,1.0,95.0,73.0,79.0,81.0,82.0,69.0,100.0,79.0
453,Susan Perez,female,False,32.0,72.0,72.0,68.0,81.0,95.0,90.0,99.0,78.0
454,Brenda Powers,female,False,4.0,95.0,76.0,70.0,89.0,88.0,87.0,62.0,86.0
455,Samuel Thompson,male,False,28.0,91.0,97.0,86.0,77.0,83.0,79.0,62.0,89.0
456,Taylor Nelson,female,False,32.0,79.0,81.0,63.0,79.0,96.0,96.0,89.0,85.33
457,Kimberly West,female,False,33.0,80.0,71.0,94.0,92.0,92.0,60.0,78.0,70.33
458,Brad Lee,male,True,4.0,86.0,90.0,88.0,73.0,50.0,93.0,71.0,89.67
459,Clayton Green,male,False,31.0,88.0,88.0,90.0,67.0,77.0,83.0,64.0,86.33
460,Richard Anderson,male,False,17.0,83.0,95.0,86.0,80.0,64.0,66.0,97.0,81.33
461,Antonio Flores,male,False,23.0,84.0,84.0,80.0,97.0,87.0,97.0,91.0,88.33
462,Margaret Mullins,female,False,29.0,85.0,82.0,81.0,85.0,72.0,90.0,71.0,85.67
463,Michael Ball,male,False,19.0,91.0,85.0,96.0,83.0,74.0,87.0,74.0,87.67
464,Allen Booth,male,True,26.0,83.0,71.0,94.0,60.0,63.0,93.0,67.0,82.33
465,Stephanie Clark,female,False,7.0,97.0,93.0,99.0,98.0,96.0,79.0,88.0,89.67
466,Sharon Nelson,female,False,4.0,63.0,68.0,92.0,73.0,66.0,69.0,87.0,66.67
467,Marco Clark,male,False,22.0,92.0,98.0,90.0,82.0,86.0,86.0,89.0,92.0
468,Victor Smith,male,True,4.0,78.0,78.0,64.0,94.0,79.0,92.0,63.0,82.67
469,Christina Patterson,female,False,29.0,78.0,90.0,69.0,100.0,90.0,91.0,90.0,86.33
470,Jerry Knight,male,False,21.0,89.0,60.0,93.0,79.0,72.0,76.0,85.0,75.0
471,Madison Jacobs,female,False,5.0,53.0,87.0,100.0,84.0,63.0,62.0,95.0,67.33
472,Douglas Watson,male,False,15.0,63.0,84.0,60.0,85.0,91.0,83.0,84.0,76.67
473,Manuel Barrett,male,False,10.0,100.0,98.0,71.0,100.0,71.0,92.0,63.0,96.67
474,Janet Martin,female,True,2.0,79.0,54.0,81.0,87.0,67.0,74.0,85.0,69.0
475,Teresa Flores,female,False,0.0,93.0,77.0,71.0,62.0,94.0,69.0,72.0,79.67
476,Anthony Mullins,male,False,3.0,97.0,88.0,67.0,72.0,83.0,87.0,62.0,90.67
477,Julie Zamora,female,False,1.0,76.0,82.0,93.0,98.0,98.0,60.0,65.0,72.67
478,Maria Nguyen,female,False,26.0,84.0,83.0,80.0,91.0,88.0,61.0,61.0,76.0
479,Selena Castro,female,True,2.0,56.0,96.0,65.0,61.0,78.0,77.0,95.0,76.33
480,Whitney Miller,female,False,21.0,97.0,89.0,94.0,91.0,95.0,70.0,75.0,85.33
481,Brenda Mooney,female,False,5.0,67.0,60.0,97.0,53.0,93.0,78.0,81.0,68.33
482,Angela Allen,female,True,5.0,97.0,93.0,64.0,74.0,94.0,74.0,76.0,88.0
483,Erica Cohen,female,False,0.0,100.0,67.0,50.0,78.0,73.0,90.0,91.0,85.67
484,Kelly Sanders,female,False,10.0,83.0,61.0,76.0,75.0,62.0,79.0,94.0,74.33
485,Michael Clark,male,False,2.0,85.0,63.0,83.0,83.0,69.0,94.0,80.0,80.67
486,Tammy Fields,female,False,24.0,100.0,96.0,97.0,64.0,76.0,77.0,61.0,91.0
487,Steven Pennington,male,False,46.0,92.0,98.0,99.0,86.0,100.0,86.0,87.0,92.0
488,Matthew Chavez,male,False,31.0,88.0,98.0,65.0,68.0,99.0,94.0,79.0,93.33
489,Stephen Gallagher,male,False,33.0,95.0,82.0,62.0,76.0,64.0,91.0,79.0,89.33
490,Victoria Anderson,female,False,26.0,76.0,81.0,84.0,80.0,80.0,84.0,70.0,80.33
491,Thomas Schroeder,male,False,19.0,79.0,93.0,72.0,97.0,69.0,78.0,87.0,83.33
492,Mark Sanchez,male,False,25.0,93.0,70.0,84.0,68.0,71.0,85.0,70.0,82.67
493,Katelyn Moses,female,False,24.0,79.0,96.0,78.0,90.0,94.0,76.0,88.0,83.67
494,Corey Davis,male,False,21.0,98.0,99.0,72.0,100.0,94.0,77.0,84.0,91.33
495,Susan Klein,female,True,0.0,93.0,99.0,81.0,67.0,87.0,76.0,60.0,89.33
496,John Martinez,male,False,30.0,91.0,79.0,78.0,95.0,86.0,89.0,100.0,86.33
497,Kendra Robertson,female,False,32.0,86.0,99.0,77.0,61.0,72.0,92.0,70.0,92.33
498,Tamara Olson,female,False,15.0,81.0,80.0,85.0,93.0,68.0,75.0,90.0,78.67
499,Sara Frazier,female,False,15.0,97.0,94.0,94.0,83.0,91.0,65.0,96.0,85.33
500,Morgan Moore,female,False,4.0,90.0,95.0,89.0,93.0,92.0,99.0,88.0,94.67
501,Eric Snyder,male,False,27.0,90.0,91.0,62.0,82.0,76.0,70.0,64.0,83.67
502,Paul Hale,male,False,33.0,82.0,92.0,95.0,61.0,84.0,81.0,82.0,85.0
503,Dale Martinez,male,False,25.0,91.0,94.0,89.0,74.0,60.0,77.0,77.0,87.33
504,Sandra Prince,female,False,29.0,70.0,94.0,67.0,74.0,84.0,95.0,65.0,86.33
505,Dawn Poole,female,False,13.0,60.0,75.0,70.0,96.0,63.0,82.0,80.0,72.33
506,Emily Jordan,female,False,49.0,85.0,96.0,99.0,94.0,95.0,92.0,95.0,91.0
507,John Owen,male,False,34.0,82.0,85.0,72.0,69.0,63.0,99.0,68.0,88.67
508,Andrew Best,male,True,28.0,83.0,79.0,92.0,69.0,85.0,71.0,95.0,77.67
509,Holly Burns,female,False,44.0,96.0,88.0,100.0,95.0,85.0,94.0,93.0,92.67
510,Alicia Rodriguez,female,False,14.0,85.0,87.0,78.0,72.0,91.0,88.0,93.0,86.67
511,Erin Ray,female,False,1.0,95.0,61.0,84.0,98.0,63.0,66.0,80.0,74.0
512,Todd Griffith,male,False,22.0,97.0,92.0,87.0,61.0,75.0,62.0,94.0,83.67
513,Melinda Payne,female,False,11.0,95.0,69.0,91.0,97.0,89.0,84.0,66.0,82.67
514,Cynthia Williams,female,False,2.0,69.0,98.0,77.0,63.0,88.0,64.0,60.0,77.0
515,Jenny Washington,female,False,3.0,84.0,55.0,65.0,62.0,56.0,91.0,81.0,76.67
516,Angela Joyce,female,False,28.0,92.0,100.0,100.0,98.0,83.0,75.0,72.0,89.0
517,William Alvarado,male,True,0.0,87.0,95.0,78.0,82.0,53.0,59.0,66.0,80.33
518,Michael Mercer,male,False,22.0,97.0,87.0,90.0,70.0,96.0,75.0,93.0,86.33
519,Erin Miller,female,True,3.0,92.0,96.0,77.0,95.0,63.0,57.0,90.0,81.67
520,Robert Heath,male,False,25.0,72.0,91.0,68.0,79.0,98.0,71.0,89.0,78.0
521,Deborah Rojas,female,False,1.0,50.0,55.0,96.0,72.0,55.0,50.0,64.0,51.67
522,Diana Jones,female,False,37.0,97.0,96.0,93.0,94.0,91.0,96.0,87.0,96.33
523,Meredith Clark,female,False,28.0,89.0,77.0,69.0,72.0,63.0,84.0,99.0,83.33
524,Christina Garrett,female,False,30.0,77.0,76.0,90.0,95.0,94.0,99.0,94.0,84.0
525,Daniel Jackson,male,False,19.0,91.0,89.0,66.0,69.0,100.0,88.0,79.0,89.33
526,Bradley Robinson,male,True,2.0,64.0,92.0,70.0,81.0,85.0,55.0,76.0,70.33
527,Phyllis Schneider,female,True,26.0,71.0,87.0,63.0,73.0,89.0,77.0,66.0,78.33
528,Thomas Clark,male,False,0.0,56.0,79.0,74.0,66.0,92.0,57.0,61.0,64.0
529,Gregory Gonzalez,male,False,5.0,87.0,70.0,98.0,64.0,65.0,78.0,83.0,78.33
530,Michelle Roth,female,False,17.0,99.0,69.0,85.0,91.0,77.0,88.0,75.0,85.33
531,Christopher Murphy,male,False,26.0,98.0,88.0,76.0,72.0,92.0,81.0,89.0,89.0
532,Mark Davis,male,False,32.0,87.0,83.0,74.0,61.0,81.0,72.0,98.0,80.67
533,Lauren Harrington,female,False,16.0,88.0,96.0,90.0,92.0,68.0,97.0,73.0,93.67
534,Michelle Owens,female,True,2.0,71.0,52.0,53.0,64.0,89.0,76.0,70.0,66.33
535,Scott Weaver,male,False,35.0,96.0,90.0,91.0,95.0,99.0,95.0,99.0,93.67
536,Monica Williams,female,False,17.0,81.0,95.0,99.0,65.0,56.0,79.0,98.0,85.0
537,Kathryn Hampton,female,False,3.0,94.0,92.0,63.0,84.0,79.0,66.0,96.0,84.0
538,Christina Shields,female,True,47.0,94.0,87.0,98.0,90.0,92.0,88.0,100.0,89.67
539,Andrew Thomas,male,False,29.0,98.0,87.0,75.0,63.0,85.0,88.0,75.0,91.0
540,Holly Sexton,female,False,5.0,100.0,58.0,54.0,97.0,58.0,51.0,80.0,69.67
541,Christopher Peterson,male,False,12.0,66.0,89.0,65.0,99.0,84.0,84.0,86.0,79.67
542,Eric Murray,male,False,35.0,94.0,99.0,97.0,94.0,85.0,97.0,97.0,96.67
543,Kristina Watson,female,True,3.0,83.0,90.0,93.0,89.0,64.0,63.0,82.0,78.67
544,Greg Martin,male,True,2.0,92.0,54.0,50.0,88.0,90.0,91.0,95.0,79.0
545,Paul Shaffer,male,False,35.0,93.0,100.0,90.0,94.0,97.0,98.0,98.0,97.0
546,Alexander Daniel,male,True,7.0,69.0,92.0,84.0,98.0,98.0,83.0,87.0,81.33
547,Carla Davis,female,False,15.0,94.0,71.0,63.0,73.0,66.0,90.0,91.0,85.0
548,Chelsea Clark,female,False,3.0,100.0,92.0,95.0,90.0,67.0,81.0,66.0,91.0
549,Justin Douglas,male,False,35.0,96.0,92.0,98.0,100.0,94.0,93.0,86.0,93.67
550,Charles Reid,male,False,28.0,76.0,87.0,99.0,69.0,89.0,93.0,85.0,85.33
551,Courtney Moreno,female,False,4.0,77.0,62.0,94.0,65.0,77.0,77.0,95.0,72.0
552,Justin Mitchell,male,False,4.0,84.0,67.0,79.0,60.0,69.0,80.0,98.0,77.0
